week_start,lt_settlement_base,spot_marginal_exposure,lt_spot_coupling_state,ancillary_peak_shaving_pause,ancillary_freq_reserve_tight,ancillary_price_cap_tight,renewable_mechanism_active,mechanism_price_floor,mechanism_price_ceiling,mechanism_volume_ratio_max,mechanism_exec_term_years,mechanism_stage_label,lt_price_linked_active,fixed_price_ratio_max,linked_price_ratio_min,policy_count,policy_sources,policy_names,pre_switch_window,days_to_next_policy_switch,next_policy_switch_type,next_policy_switch_code,failed_policy_files
2026-01-05,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.375,0.375,0.8,10.0,竞价实施,0.0,0.0,0.0,30.0,/Users/dk/py/elec/政策环境/2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|/Users/dk/py/elec/政策环境/2024-01-31 电力市场信息披露基本规则.docx|/Users/dk/py/elec/政策环境/2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力市场注册实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|/Users/dk/py/elec/政策环境/2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx|/Users/dk/py/elec/政策环境/2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx|/Users/dk/py/elec/政策环境/2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15湖南省电力市场注册实施细则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知|2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知|湖南省2025年度新能源增量项目机制电价竞价结果公布表,1.0,27.0,lt_price_linkage,2.0,
2026-01-12,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.375,0.375,0.8,10.0,竞价实施,0.0,0.0,0.0,30.0,/Users/dk/py/elec/政策环境/2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|/Users/dk/py/elec/政策环境/2024-01-31 电力市场信息披露基本规则.docx|/Users/dk/py/elec/政策环境/2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力市场注册实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|/Users/dk/py/elec/政策环境/2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx|/Users/dk/py/elec/政策环境/2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx|/Users/dk/py/elec/政策环境/2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15湖南省电力市场注册实施细则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知|2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知|湖南省2025年度新能源增量项目机制电价竞价结果公布表,1.0,20.0,lt_price_linkage,2.0,
2026-01-19,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.375,0.375,0.8,10.0,竞价实施,0.0,0.0,0.0,30.0,/Users/dk/py/elec/政策环境/2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|/Users/dk/py/elec/政策环境/2024-01-31 电力市场信息披露基本规则.docx|/Users/dk/py/elec/政策环境/2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力市场注册实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|/Users/dk/py/elec/政策环境/2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx|/Users/dk/py/elec/政策环境/2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx|/Users/dk/py/elec/政策环境/2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15湖南省电力市场注册实施细则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知|2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知|湖南省2025年度新能源增量项目机制电价竞价结果公布表,1.0,13.0,lt_price_linkage,2.0,
2026-01-26,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.375,0.375,0.8,10.0,竞价实施,1.0,0.4,0.6,33.0,/Users/dk/py/elec/政策环境/2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|/Users/dk/py/elec/政策环境/2024-01-31 电力市场信息披露基本规则.docx|/Users/dk/py/elec/政策环境/2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力市场注册实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|/Users/dk/py/elec/政策环境/2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx|/Users/dk/py/elec/政策环境/2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx|/Users/dk/py/elec/政策环境/2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx|/Users/dk/py/elec/政策环境/2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15湖南省电力市场注册实施细则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知|2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知|2026.01 关于完善2026年度电力中长期交易价格机制的通知|湖南省2025年度新能源增量项目机制电价竞价结果公布表,1.0,6.0,lt_price_linkage,2.0,
2026-02-02,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.375,0.375,0.8,10.0,竞价实施,1.0,0.4,0.6,33.0,/Users/dk/py/elec/政策环境/2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|/Users/dk/py/elec/政策环境/2024-01-31 电力市场信息披露基本规则.docx|/Users/dk/py/elec/政策环境/2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力市场注册实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|/Users/dk/py/elec/政策环境/2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx|/Users/dk/py/elec/政策环境/2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx|/Users/dk/py/elec/政策环境/2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx|/Users/dk/py/elec/政策环境/2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15湖南省电力市场注册实施细则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知|2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知|2026.01 关于完善2026年度电力中长期交易价格机制的通知|湖南省2025年度新能源增量项目机制电价竞价结果公布表,0.0,60.0,none,0.0,
2026-02-09,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.375,0.375,0.8,10.0,竞价实施,1.0,0.4,0.6,33.0,/Users/dk/py/elec/政策环境/2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|/Users/dk/py/elec/政策环境/2024-01-31 电力市场信息披露基本规则.docx|/Users/dk/py/elec/政策环境/2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力市场注册实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|/Users/dk/py/elec/政策环境/2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx|/Users/dk/py/elec/政策环境/2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx|/Users/dk/py/elec/政策环境/2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx|/Users/dk/py/elec/政策环境/2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15湖南省电力市场注册实施细则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知|2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知|2026.01 关于完善2026年度电力中长期交易价格机制的通知|湖南省2025年度新能源增量项目机制电价竞价结果公布表,0.0,60.0,none,0.0,
2026-02-16,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.375,0.375,0.8,10.0,竞价实施,1.0,0.4,0.6,33.0,/Users/dk/py/elec/政策环境/2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|/Users/dk/py/elec/政策环境/2024-01-31 电力市场信息披露基本规则.docx|/Users/dk/py/elec/政策环境/2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力市场注册实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|/Users/dk/py/elec/政策环境/2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx|/Users/dk/py/elec/政策环境/2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx|/Users/dk/py/elec/政策环境/2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx|/Users/dk/py/elec/政策环境/2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15湖南省电力市场注册实施细则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知|2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知|2026.01 关于完善2026年度电力中长期交易价格机制的通知|湖南省2025年度新能源增量项目机制电价竞价结果公布表,0.0,60.0,none,0.0,
2026-02-23,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.375,0.375,0.8,10.0,竞价实施,1.0,0.4,0.6,33.0,/Users/dk/py/elec/政策环境/2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|/Users/dk/py/elec/政策环境/2024-01-31 电力市场信息披露基本规则.docx|/Users/dk/py/elec/政策环境/2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力市场注册实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|/Users/dk/py/elec/政策环境/2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx|/Users/dk/py/elec/政策环境/2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx|/Users/dk/py/elec/政策环境/2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx|/Users/dk/py/elec/政策环境/2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15湖南省电力市场注册实施细则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知|2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知|2026.01 关于完善2026年度电力中长期交易价格机制的通知|湖南省2025年度新能源增量项目机制电价竞价结果公布表,0.0,60.0,none,0.0,
2026-03-02,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.375,0.375,0.8,10.0,竞价实施,1.0,0.4,0.6,33.0,/Users/dk/py/elec/政策环境/2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|/Users/dk/py/elec/政策环境/2024-01-31 电力市场信息披露基本规则.docx|/Users/dk/py/elec/政策环境/2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力市场注册实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|/Users/dk/py/elec/政策环境/2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx|/Users/dk/py/elec/政策环境/2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx|/Users/dk/py/elec/政策环境/2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx|/Users/dk/py/elec/政策环境/2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15湖南省电力市场注册实施细则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知|2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知|2026.01 关于完善2026年度电力中长期交易价格机制的通知|湖南省2025年度新能源增量项目机制电价竞价结果公布表,0.0,60.0,none,0.0,
2026-03-09,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.375,0.375,0.8,10.0,竞价实施,1.0,0.4,0.6,33.0,/Users/dk/py/elec/政策环境/2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|/Users/dk/py/elec/政策环境/2024-01-31 电力市场信息披露基本规则.docx|/Users/dk/py/elec/政策环境/2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力市场注册实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|/Users/dk/py/elec/政策环境/2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx|/Users/dk/py/elec/政策环境/2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx|/Users/dk/py/elec/政策环境/2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx|/Users/dk/py/elec/政策环境/2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15湖南省电力市场注册实施细则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知|2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知|2026.01 关于完善2026年度电力中长期交易价格机制的通知|湖南省2025年度新能源增量项目机制电价竞价结果公布表,0.0,60.0,none,0.0,
2026-03-16,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.375,0.375,0.8,10.0,竞价实施,1.0,0.4,0.6,33.0,/Users/dk/py/elec/政策环境/2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|/Users/dk/py/elec/政策环境/2024-01-31 电力市场信息披露基本规则.docx|/Users/dk/py/elec/政策环境/2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力市场注册实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|/Users/dk/py/elec/政策环境/2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx|/Users/dk/py/elec/政策环境/2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx|/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx|/Users/dk/py/elec/政策环境/2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx|/Users/dk/py/elec/政策环境/2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15湖南省电力市场注册实施细则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知|2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知|2026.01 关于完善2026年度电力中长期交易价格机制的通知|湖南省2025年度新能源增量项目机制电价竞价结果公布表,0.0,60.0,none,0.0,
