#{"t_start": 1776138694.003288, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-11.710082,96,1.1135,951944596.4779248,1666369.3548649226,236187.74301175057,21.180870305016583,2684805.3378233854
-9.179098,96,2.257221,969086787.197921,1803642.0108754006,236187.74301175057,21.18087030501659,2864476.1892104023
-7.403298,96,3.436306,946739264.1628778,1624957.989502672,236187.74301175057,21.18087030501661,2630454.201395645
-9.253975,96,4.519873,959255517.2813241,1724796.0483848448,67308.69032678186,21.18087030501659,2761383.699594444
-9.531201,96,5.607335,935861255.8016467,1538900.7437128897,20501.89663263029,21.180870305016576,2517166.4428763255
-8.160842,96,6.802346,987468558.4759159,1691549.3378141825,13572522.578354284,1871.8532940324617,2750296.520425875
-7.060071,96,7.918574,934483765.1595685,1528053.032182858,90157.99922943737,21.1808703050166,2502844.2923313254
-8.735661,96,9.019185,939246546.0622503,1565598.6626862735,96499.53623710186,21.18087030501659,2552364.2404292296
-6.383841,96,10.248241,992072730.5637109,1739327.4841689207,13183071.738172524,1853.4926286653983,2808080.8976680394
-3.145149,96,11.363967,934483765.1595685,1528053.032182858,65404.83870098019,21.1808703050166,2502844.2923313254
-5.876821,96,12.534304,959649879.055407,1727954.2376244979,236187.74301175057,21.18087030501659,2765519.0490909456
-7.146795,96,13.662493,1012785716.8317177,1816932.4403620372,15657482.117259277,1973.0330528765594,2922071.5957774925
-3.205749,96,14.766354,968729251.6933396,1800770.7388873734,218725.831653305,21.18087030501659,2860727.006693181
-4.255394,96,15.942198,937384832.9807295,1550909.7142009297,124725.51790043079,21.180870305016583,2533007.495482555
-4.503604,96,17.090691,1086356707.1797423,2045944.758715592,29980078.51932798,2628.510295598029,3289280.804053786
-7.339873,96,18.221661,967450107.8875997,1790500.5188775053,236187.74301175057,21.18087030501659,2847313.67142426
-2.988435,96,19.379284,973178513.9126031,1836572.5564792969,228591.18653719983,21.180870305016555,2907487.3881789944
0.349019,96,20.482111,1036009507.2005172,1898683.5555389135,19446220.16325252,2169.0939565555464,3046103.367697513
-1.341817,96,21.642491,989394620.244801,1696848.1875163675,13785300.669747097,1885.4762054827352,2758627.243353096
-3.915273,96,22.732751,927868931.0565561,1463367.0446284795,2949297.4395294897,887.4189668276113,2380317.0179743133
-6.73067,96,23.81787,952773271.6287273,1672970.1895283759,236187.74301175057,21.180870305016583,2693457.8951337696
-2.760686,96,25.029918,995628575.8349118,1713757.23249425,14754493.412771173,1934.4956348052253,2785320.6390139153
-0.851516,96,26.129438,934483765.1595685,1528053.032182858,224073.44519487105,21.1808703050166,2502844.2923313254
-0.877804,96,27.230481,996927631.4790223,1781105.1777247735,13103514.979309006,1845.6891510686712,2859645.455538265
-0.961304,96,28.365456,949755066.6527015,1648939.2212881353,236187.74301175057,21.18087030501659,2661943.5055635464
