#{"t_start": 1776230673.542861, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-9.252264,96,1.072996,951944510.8373135,1666367.4788964111,236186.59520576833,21.177591528014702,2684802.9097098336
-6.893371,96,2.090261,969086739.9970889,1803640.4219021127,236186.59520576833,21.177591528014702,2864474.151976477
-5.186411,96,3.15846,946739447.6007212,1624958.257816535,236186.59520576833,21.177591528014712,2630454.5828471533
-6.943194,96,4.157912,959585107.524338,1727434.2921599776,58611.63397205031,21.177591528014712,2764838.3007241297
-7.048679,96,5.205243,936107340.4292451,1540838.4617660411,29555.006356180187,21.177591528014702,2519723.50636837
-6.234865,96,6.258146,979148806.9124057,1664958.898201416,10360973.375262624,1606.444965826388,2710060.1149719073
-5.88127,96,7.285843,934483948.5974119,1528053.2936537901,79023.01328686261,21.1775915280147,2502844.6532576424
-7.251611,96,8.392819,940275190.0219007,1573720.172512867,101683.54875169517,21.1775915280147,2563057.7893692874
-5.080552,96,9.483552,981975789.7042141,1716370.7300246726,9581695.559500512,1552.907286121207,2771226.462126122
-2.059722,96,10.540937,934483948.5974119,1528053.2936537901,40503.04562864388,21.1775915280147,2502844.6532576424
-4.685709,96,11.645085,962281361.4813316,1749037.1552782203,236186.59520576833,21.17759152801471,2793111.7115267445
-5.291419,96,12.744857,983599760.2225269,1739313.0049616578,9399394.094205692,1534.9575949979344,2799070.5352151524
-2.245452,96,13.773419,970278133.4747913,1813210.1177969365,203655.79717441407,21.177591528014702,2876967.3212995175
-2.955598,96,14.838578,936126128.255744,1540986.5033080794,102348.65896061841,21.177591528014702,2519918.8485879907
-2.864947,96,15.899872,1050204051.9431736,1940015.5260192077,20780129.968065616,2176.0625442914893,3127490.0014590956
-5.542169,96,16.911229,969452090.8788276,1806574.735406253,236186.59520576833,21.177591528014702,2868305.2879641317
-1.282028,96,17.98925,973178697.3504465,1836572.8191330875,203277.28354895435,21.177591528014702,2907487.7696571527
1.231888,96,19.000748,995655707.242304,1792693.8417910947,10453132.434200343,1603.1028569577095,2875926.5043320996
0.271243,96,20.095059,943577048.1622375,1538719.5782405385,5365749.713313241,1203.6692650656119,2504670.6364967073
-1.9535,96,21.116354,934483948.5974119,1528053.2936537901,146886.25141596337,21.1775915280147,2502844.6532576424
-4.000559,96,22.130719,953815547.8651278,1681274.3036042177,221391.5170768162,21.17759152801471,2704339.2202862264
-1.022233,96,23.228954,946491715.902308,1554965.6090493193,5949659.957036777,1267.7900745800005,2531800.0620837957
1.19963,96,24.241547,935022322.121415,1532291.842187398,236186.59520576833,21.177591528014702,2508442.271437164
1.503641,96,25.270506,948039167.9212186,1598940.0233109896,3299289.2676450615,914.0723377191983,2560063.4280788084
0.44827,96,26.331792,948574832.3098918,1639549.1980674884,186372.48670551088,21.177591528014702,2649618.632073589
2.35095,96,27.363854,1036865896.3522563,1882838.474666164,19128385.65756582,2105.584972317686,3044365.811711789
-0.01517,96,28.42078,1076311874.4426866,2131795.15987064,21133067.52556398,2185.781047668968,3377944.259706697
0.701932,96,29.433172,948633276.130072,1644704.2632329646,1880463.2077740761,673.325204308412,2621197.114306605
-0.768719,96,30.505755,957513625.1079519,1710850.1438020854,149327.5587976586,21.177591528014702,2743116.3582576313
4.963699,96,31.567684,946625477.1083119,1624052.6132822721,103733.71256592494,21.177591528014712,2629264.5674155224
2.912704,96,32.573978,952337574.2947371,1669498.166903677,24335.695532320213,21.177591528014702,2688907.0560555793
3.825029,96,33.590662,934483948.5974119,1528053.2936537901,140841.20927073498,21.1775915280147,2502844.6532576424
4.18165,96,34.632958,934483948.5974119,1528053.2936537901,90156.85142345513,21.1775915280147,2502844.6532576424
3.62226,96,35.678965,938819733.1287936,1562228.5189002433,117559.22258733536,21.177591528014702,2547925.0021850574
2.182682,96,36.779012,940644707.7757084,1576639.1993938303,162448.6072087285,21.1775915280147,2566899.767483274
4.494982,96,37.789191,947848634.257009,1562344.251960429,6227248.209129111,1297.7158052695709,2544093.5735039436
3.774792,96,38.797535,942897374.1695296,1594454.9492680847,34040.919392805794,21.17759152801471,2590337.824764205
4.13159,96,39.860138,946739453.9432849,1624958.308217809,236186.59520576833,21.177591528014712,2630454.649072616
