window_name,strategy,total_procurement_cost,total_profit,weekly_cost_volatility,cvar99,hedge_error,avg_adjustment_mwh,mean_reward,max_drawdown,feasible_domain_trigger_weeks
window_01,window_01_test,1500799104.0,106786048.0,0.0,3463053.25,0.7013352513313293,0.0,-2193113.0,0.0,1
window_02,window_02_test,2074434560.0,27071436.0,0.0,3801533.75,0.0031796188559383154,4019.9408479531608,-325888896.0,0.0,1
window_03,window_03_test,2160790528.0,-224796432.0,0.0,3533086.0,0.0276897381991148,3132.8096105357013,-164142608.0,0.0,1
window_04,window_04_test,1500056704.0,208496768.0,0.0,3356957.5,0.6969426274299622,0.0,70564352.0,0.0,1
window_05,window_05_test,1266309632.0,338977536.0,0.0,3276843.75,0.6939107179641724,0.0,96016240.0,0.0,1
window_06,window_06_test,1014496128.0,274248832.0,0.0,2675173.0,0.6988386511802673,0.0,42765420.0,0.0,1
window_07,window_07_test,1131332864.0,261734656.0,0.0,2574285.25,0.7068691253662109,0.0,17890550.0,0.0,1
window_08,window_08_test,1322422400.0,202921216.0,0.0,2847448.0,0.697387158870697,0.0,18736840.0,0.0,1
window_09,window_09_test,952445824.0,400217984.0,0.0,2810526.5,0.7032067775726318,0.0,70561424.0,0.0,1
window_10,window_10_test,1005325696.0,124177408.0,0.0,3053831.25,0.7048418521881104,0.0,-18647584.0,0.0,1
