#{"t_start": 1776085943.126902, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-11.351359,96,1.074331,1675794144.2840815,2130915.276978648,281652.5988985284,20.748726987419158,3630532.0794764454
-10.578511,96,2.112317,1685658081.041938,2154074.4273140593,128710.30073406258,20.748726987419158,3662752.2101552878
-9.691959,96,3.141472,1660649740.722545,2095894.741645755,215322.63673624216,20.748726987419165,3581778.7054991284
-10.816769,96,4.128361,1664145264.3292131,2103871.83265251,147297.3384975664,20.748726987419165,3592859.7645521103
-8.733956,96,5.115212,1628186225.6086516,2023438.2675076262,239197.53410370904,20.748726987419154,3480831.7796293614
-7.572547,96,6.196439,1662949669.902554,2157329.3624268756,11930394.649319354,1800.0570841810504,3714950.147000766
-9.520738,96,7.229212,1626336647.2845707,2019397.2407109637,115546.05591251687,20.74872698741915,3475178.052286668
-11.014426,96,8.271441,1639060495.603839,2047284.4305070513,281652.59889852855,20.748726987419158,3514071.873764958
-9.328378,96,9.37474,1691699484.6995502,2232082.9959883206,12086516.768861104,1799.2283249121715,3825064.131849403
-6.670883,96,10.395396,1626336647.2845707,2019397.2407109637,135049.28355755942,20.74872698741915,3475178.052286668
-6.587287,96,11.460426,1671788493.2850676,2121540.1903316327,120642.4693137065,20.748726987419147,3617455.897083632
-8.399343,96,12.474449,1673729669.2053022,2161527.1412844327,6795307.885769772,1344.3303353438293,3687486.8552654483
-5.771551,96,13.470664,1679878286.4556818,2140489.4732346945,44668.30585864937,20.748726987419154,3643864.4911037143
-3.298282,96,14.532775,1627687328.4138145,2022347.8203041481,148529.70296323026,20.74872698741915,3479306.7678605057
-4.916995,96,15.572159,1791817082.1271749,2477509.8234433117,37015512.45673697,3235.5900503639978,4227195.744114259
-5.20466,96,16.555594,1682902150.272967,2147587.8995288885,154031.7777939312,20.748726987419158,3653735.694265346
-4.001588,96,17.663947,1685658081.041938,2154074.4273140593,79498.25992271016,20.748726987419158,3662752.2101552878
-4.057311,96,18.653833,1695150730.879034,2240820.276458403,11700534.909824612,1773.5963444348968,3836379.4184379256
-2.049474,96,19.687368,1617307431.3338351,2008512.7488622006,1211647.4381806164,540.2917187134182,3449686.6624945127
-4.679393,96,20.670027,1626336647.2845707,2019397.2407109637,250501.41843036102,20.74872698741915,3475178.052286668
-4.797807,96,21.659271,1651080470.1703143,2074138.1795476323,126238.75811270684,20.748726987419133,3551475.086950931
-2.738298,96,22.735992,1618228480.5990481,2010408.989819021,2338343.757764754,789.9986416546831,3449488.847495357
-2.4709,96,23.724038,1634745085.1067896,2037803.5921497215,281652.59889852855,20.748726987419165,3500880.67553104
-1.633789,96,24.706351,1650204641.072968,2075056.9851170601,184490.13513290667,100.06674690756022,3551590.0702090715
-1.674711,96,25.737809,1644106835.1665204,2058409.6968927535,29964.938814153393,20.748726987419154,3529517.971691764
-0.243404,96,26.721922,1758524006.2757273,2379170.1812278987,30765115.572190773,2968.998376463165,4073224.418025269
-0.97996,96,27.767363,1778446104.9217715,2419202.093982625,26260775.37350652,2741.5971987109797,4123573.3595003285
-1.857099,96,28.830938,1658067207.7249331,2090344.5605890087,199167.4204617231,33.25882849935299,3573907.8674882217
-0.983478,96,29.867639,1655106940.6459696,2083280.7672794631,71651.57718088148,20.748726987419158,3564225.9674620265
0.445993,96,30.904343,1641229316.8246784,2052057.74729988,179150.45063773726,20.748726987419154,3520701.4518033825
-1.319811,96,31.900717,1652733532.2980351,2077889.5195754434,281652.59889852855,20.748726987419147,3556709.9440783896
0.380464,96,32.893294,1626336647.2845707,2019397.2407109637,189962.98946264968,20.74872698741915,3475178.052286668
-0.259092,96,33.995812,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
0.216637,96,35.004999,1629788840.1419454,2026943.2994007654,83032.93201209162,20.748726987419154,3485730.596558989
-0.135541,96,36.036123,1630144557.3158202,2027721.7250187146,79721.42928376744,20.748726987419165,3486817.940569252
1.456954,96,37.067306,1618493556.9213843,2011425.2149945516,2509025.603239473,819.2930446012617,3451155.979912918
-0.318678,96,38.051208,1633553779.1949086,2035190.3505630682,90119.01603177466,20.748726987419165,3497239.1326345745
0.143127,96,39.136095,1666799385.3044136,2109997.439190665,281652.59889852855,20.748726987419158,3601394.35259277
1.784461,96,40.184009,1638328872.828346,2045675.48443763,281652.59889852855,20.748726987419158,3511835.474453565
-0.961725,96,41.1722,1617204004.5507867,2008037.4091340476,1423466.4092727546,575.2863937368978,3448220.6537449257
2.975459,96,42.212027,1626336647.2845707,2019397.2407109637,159837.37267323124,20.74872698741915,3475178.052286668
1.495584,96,43.204773,1649768852.9239073,2071163.8342804597,114028.42808371395,20.748726987419126,3547321.5050765956
1.186899,96,44.300363,1640375590.834004,2050178.130322537,262486.34259607416,20.748726987419154,3518091.8115876634
-1.288394,96,45.371623,1655169791.4087715,2120679.630995448,7961288.771846592,1475.9480530673645,3638202.581307922
2.492331,96,46.358259,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
1.703025,96,47.389082,1627523470.841546,2021989.7447440666,227918.11761725543,20.74872698741915,3478805.893674979
1.950524,96,48.369875,1650513198.8050973,2072851.5481958643,55916.12992070574,20.748726987419126,3549678.6725877854
1.500392,96,49.35374,1642306611.275168,2054430.8150028328,281652.59889852855,20.748726987419154,3523994.4883899186
3.136542,96,50.456129,1643012862.583775,2055987.28690896,37339.84758336978,20.748726987419154,3526153.3330748384
3.227404,96,51.518857,1631178926.3619094,2029986.1790804877,70579.8162727906,20.748726987419165,3489979.7642574776
2.090186,96,52.57415,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
3.837413,96,53.6118,1626336647.2845707,2019397.2407109637,213314.0044213845,20.74872698741915,3475178.052286668
3.322112,96,54.595428,1639832775.0576391,2048983.4830454057,21529.80451555593,20.748726987419154,3516432.551010849
4.19488,96,55.667543,1626336647.2845707,2019397.2407109637,143981.142442496,20.74872698741915,3475178.052286668
3.835362,96,56.697435,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
3.466297,96,57.687074,1626336647.2845707,2019397.2407109637,136970.09130406665,20.74872698741915,3475178.052286668
2.943329,96,58.810132,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
3.452518,96,59.801344,1644995294.5285811,2060393.7669904889,200877.53339669338,20.748726987419154,3532281.955837443
3.50889,96,60.854872,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
3.712481,96,61.911567,1626336647.2845707,2019397.2407109637,273692.3775061844,20.74872698741915,3475178.052286668
3.9741,96,62.903424,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
3.983609,96,63.969676,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
2.363343,96,65.006206,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
5.392155,96,65.994424,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
4.183916,96,67.020758,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
4.309026,96,68.005928,1637865236.7279682,2044656.2142958462,281652.59889852855,20.748726987419165,3510418.2475842647
4.577406,96,69.031358,1644454644.5472102,2059186.301593925,281652.59889852855,20.748726987419154,3530600.0016134423
4.140172,96,70.019222,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
4.700498,96,71.008064,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
4.023217,96,72.096391,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
4.093168,96,73.084037,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
4.222271,96,74.071313,1637502330.5190363,2043858.57281405,11225.197371712851,20.748726987419165,3509308.9283791473
4.163714,96,75.183921,1626336647.2845707,2019397.2407109637,254749.41402711705,20.74872698741915,3475178.052286668
5.419314,96,76.195992,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
4.911824,96,77.226755,1631687031.5524392,2031099.0266083584,281652.59889852855,20.748726987419165,3491532.9227105477
3.999304,96,78.206571,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
4.462749,96,79.246174,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
3.687844,96,80.325758,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
5.281311,96,81.357193,1626336647.2845707,2019397.2407109637,139538.80307017404,20.74872698741915,3475178.052286668
4.621043,96,82.346262,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
4.374241,96,83.378326,1617793398.2350342,2008521.3872252991,2035558.5058459449,734.2233604830551,3446533.90959614
5.145443,96,84.363023,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
4.63259,96,85.394085,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
4.443931,96,86.424908,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
3.90033,96,87.408556,1635672725.623481,2039839.6742960347,281652.59889852855,20.748726987419158,3503716.2551251156
4.88239,96,88.429052,1626336647.2845707,2019397.2407109637,115170.672063735,20.74872698741915,3475178.052286668
4.398125,96,89.417291,1626336647.2845707,2019397.2407109637,187952.75889209943,20.74872698741915,3475178.052286668
4.464529,96,90.402353,1637892789.0199218,2044716.7787423078,7590.274781682587,20.748726987419165,3510502.468481722
4.855646,96,91.437858,1667774816.139753,2112250.4563260786,281652.59889852855,20.748726987419158,3604530.946749391
5.456585,96,92.43456,1637444376.4484682,2043731.2087531385,144351.19383821223,20.748726987419165,3509131.776371511
