#{"t_start": 1776151831.0657039, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-10.662158,96,1.056215,1675794036.6384013,2130915.1398552484,281652.7847232556,20.749294161497318,3630531.8881177474
-9.967757,96,2.115435,1685658032.3268077,2154074.4281519074,128714.46395433774,20.749294161497307,3662752.2111646873
-9.04745,96,3.272906,1660363863.6663752,2095243.4845910314,212661.9408248597,20.749294161497293,3580873.5557161816
-10.523732,96,4.370767,1663879401.4136853,2103259.4441353693,159072.88363113394,20.749294161497296,3592006.4330138606
-8.540336,96,5.424954,1627863875.1092868,2022733.7718741489,251209.5532323051,20.749294161497296,3479846.5793855344
-7.910149,96,6.508563,1676504809.5394084,2194667.968240211,14543251.487798538,1999.0982652638752,3778788.7531461283
-10.120622,96,7.528428,1626336598.5694401,2019397.241899699,127118.67981129195,20.749294161497296,3475178.0530404956
-11.94487,96,8.570649,1640466308.8168478,2050377.9280082437,281652.7847232558,20.749294161497282,3518369.2648588894
-10.494187,96,9.633455,1725792397.8179698,2311015.439819432,18585852.916862037,2271.423004977336,3958372.108695673
-7.827782,96,10.654516,1626336598.5694401,2019397.241899699,158620.61261186356,20.749294161497296,3475178.0530404956
-7.512591,96,11.786226,1674296794.5452645,2127409.1239590785,115035.63011448506,20.749294161497325,3625644.240466748
-9.603952,96,12.813062,1725782973.0504134,2320718.0083689573,15894059.935790613,2086.6082579337985,3967979.5156243145
-6.877717,96,13.846358,1682451155.5620484,2146528.7989326813,37646.69883393642,20.749294161497318,3652263.6119443355
-4.879091,96,14.930305,1630321043.902132,2028108.103176138,143388.2519594931,20.749294161497282,3487357.5683546676
-7.131174,96,15.955797,1775821879.965818,2427816.052146266,32633736.057314962,3054.0228997704867,4148588.8811965315
-7.435493,96,16.99982,1685658032.3268077,2154074.4281519074,140026.86265049357,20.749294161497307,3662752.2111646873
-5.923473,96,18.13015,1685658032.3268077,2154074.4281519074,32837.28699801197,20.749294161497307,3662752.2111646873
-5.315127,96,19.197471,1746263358.6614008,2355545.801946256,21211032.6399691,2444.8793823681553,4027225.1407870403
-4.522567,96,20.269549,1623582995.8369637,2032124.59074691,4741858.055424105,1127.3572275151178,3489139.911293917
-6.941301,96,21.297575,1629514375.5260088,2026342.8993263645,281652.7847232558,20.74929416149729,3484891.772234982
-7.572215,96,22.327706,1654342298.102051,2081543.3120739998,111845.81923173899,20.749294161497282,3561804.6805152707
-5.01025,96,23.401881,1634636418.2777848,2064601.2670743056,7008687.156913149,1384.3265812389789,3548257.1982920165
-4.813209,96,24.425065,1642493593.392395,2054842.9471134094,281652.7847232558,20.749294161497286,3524566.1985528897
-4.050051,96,25.505799,1656479196.3625221,2115038.8355918126,5174067.280189947,1184.9111331944598,3611029.95983456
-4.303377,96,26.562986,1649780495.4405475,2071190.3390899352,30854.629379219004,20.749294161497286,3547358.5294746207
-3.550097,96,27.612984,1757117053.5914812,2374535.514501656,29150887.97488788,2897.6163762106266,4064366.662340833
-4.461388,96,28.678059,1911921750.7787652,2807881.537695624,54004075.951152526,3826.932672732979,4734381.043129839
-4.330959,96,29.71719,1684261329.545259,2201614.8337105494,8883759.759821901,1545.77877427035,3760522.225054355
-4.562034,96,30.743016,1662216239.2763276,2099465.60616297,51992.8244394118,20.749294161497296,3586739.5915425904
-1.919311,96,31.816282,1648254378.6539202,2067731.9677170017,214426.297471626,20.749294161497275,3542525.6782442657
-6.338181,96,32.901511,1659497870.937075,2093270.8427557542,281652.7847232558,20.749294161497293,3578131.1613830933
-2.39684,96,33.917133,1627331543.7643228,2021570.4812990997,281652.7847232558,20.749294161497296,3478219.3672576607
-2.140009,96,34.977131,1626336598.5694401,2019397.241899699,115170.85788846221,20.749294161497296,3475178.0530404956
-3.086495,96,35.991358,1636990629.0915692,2042734.2697800342,15988.547522751891,20.749294161497275,3507744.92673738
-2.346812,96,37.102197,1637917118.105318,2044770.3669879385,7363.518645539228,20.749294161497282,3510576.9864569055
-1.175022,96,38.145789,1650293199.856777,2118225.6080923076,9774430.268952625,1627.6022105323195,3644585.7869145707
-3.443282,96,39.198241,1641391450.580939,2052414.917001738,77026.29049845561,20.749294161497286,3521197.206352045
