#{"t_start": 1776076479.889948, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-10.475954,96,1.068743,1675794819.5563493,2130917.559996339,281653.73237767717,20.752182810683546,3630535.2598364386
-9.696733,96,2.062177,1685657783.9601347,2154074.43228184,128722.5434904314,20.75218281068353,3662752.216288625
-8.471319,96,3.163297,1659604452.5103812,2093514.1533325326,205595.56130839567,20.75218281068355,3578469.4717854545
-9.691967,96,4.148051,1663080652.3477983,2101437.6388005796,149776.2495084715,20.752182810683546,3589477.7752183476
-7.290194,96,5.137207,1627310240.5935354,2021524.4842075878,241083.21794015644,20.752182810683532,3478155.011483921
-6.221499,96,6.198818,1639620164.215776,2096040.1385365368,8996671.39215408,1585.4125959994522,3601967.0998731544
-8.416534,96,7.184702,1626336350.202767,2019397.247825895,115171.80554288374,20.752182810683532,3475178.0568670854
-9.71863,96,8.171179,1638631567.1682255,2046341.7354809835,281653.73237767734,20.75218281068354,3512761.652780219
-8.916288,96,9.300837,1672482190.663886,2181679.438295231,9317469.142270738,1598.6152777665975,3728111.232460364
-5.628692,96,10.290274,1626336350.202767,2019397.247825895,138334.09994044795,20.752182810683532,3475178.0568670854
-5.743227,96,11.366717,1673695696.7754164,2126002.7425393504,131496.33525705262,20.75218281068354,3623682.812542566
-7.486963,96,12.442129,1667140375.1014736,2149325.5066067884,6248282.421286717,1301.264109374483,3661499.656712722
-5.796986,96,13.430939,1681710321.6725664,2144789.841831039,57667.61187692415,20.75218281068354,3649846.0247123055
-3.25583,96,14.547383,1629331587.9161925,2025943.5765028987,179577.45894487528,20.752182810683525,3484333.7963876985
-4.225672,96,15.605772,1761445054.1729994,2441057.9093996193,29619249.523894973,2890.1802646116366,4177634.6400763798
-5.65614,96,16.638708,1684064841.6979759,2150320.1573898327,158900.77710840185,20.75218281068354,3657532.1993958624
-3.674194,96,17.78651,1685657783.9601347,2154074.43228184,63592.142786853714,20.75218281068353,3662752.216288625
-4.306878,96,18.804634,1703497633.680853,2287902.459989716,14149164.75657546,1961.4594542568996,3913392.1134291072
-2.56021,96,19.873193,1616584781.6189797,2010031.809265007,2806335.8793199286,868.1606152364147,3447502.6835356425
-4.582767,96,20.864495,1626336350.202767,2019397.247825895,265937.7268184473,20.752182810683532,3475178.0568670854
-5.582357,96,21.859649,1653516197.6000957,2079667.3672849732,148483.11137045623,20.75218281068356,3559189.4071850786
-3.352908,96,22.97421,1618319811.886721,2014777.2786551663,3496635.416444041,983.8260827604922,3455069.8317045085
-2.842707,96,24.056843,1638082850.086606,2045135.2486479422,281653.73237767734,20.75218281068354,3511084.353296675
-2.686567,96,25.048036,1645686885.052207,2073866.5672010158,1433793.1387490598,598.3492485450413,3539392.964232822
-1.878029,96,26.132975,1646391459.6575747,2063514.48394047,30311.077069192113,20.752182810683568,3536627.04575036
-0.663859,96,27.123134,1736305273.720759,2383860.0160371633,25487448.53125031,2674.649471650028,4088656.423274804
-1.484547,96,28.215086,1800325802.6266994,2535709.318468659,30982240.84037642,2967.8845170824297,4317892.403472313
-2.076392,96,29.281505,1649872544.3831964,2087359.3749941275,2210905.883082247,756.6304754666178,3557456.1321129585
-1.597346,96,30.277344,1657321439.8453574,2088317.1877881149,79454.52838007845,20.752182810683557,3571239.7101684147
-0.499574,96,31.391264,1645358028.4911854,2061204.7409803495,148946.18625883906,20.75218281068355,3533411.3455520873
-2.557099,96,32.378949,1662130875.2566776,2099271.529796063,281653.73237767734,20.752182810683546,3586470.05561025
-0.273278,96,33.373275,1626336350.202767,2019397.247825895,199584.48271123812,20.752182810683532,3475178.0568670854
-0.373229,96,34.527699,1626336350.202767,2019397.247825895,115171.80554288374,20.752182810683532,3475178.0568670854
-0.620617,96,35.5345,1633349692.6110013,2034743.5025924654,49882.00728393374,20.75218281068353,3496616.200481145
