#{"t_start": 1776080155.9860532, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-9.763359,96,1.093467,951944488.8638375,1666366.7591653224,236186.07192602425,21.176095029352815,2684801.9805617607
-7.449231,96,2.160524,968333759.6279585,1797593.2033869727,236186.07192602425,21.176095029352815,2856577.5589420567
-5.241843,96,3.214257,946739531.3366382,1624958.3805638202,236186.07192602425,21.176095029352826,2630454.757456783
-7.472193,96,4.261983,959951714.7474592,1730369.9678608172,72626.62884722829,21.17609502935283,2768681.907400176
-7.470264,96,5.357105,936725362.8362535,1545708.6194774753,8374.818047415307,21.176095029352826,2526148.550570758
-6.438662,96,6.44143,993127452.2204714,1717421.5037024757,12316190.637486463,1725.3226507107804,2795036.134264546
-5.610096,96,7.459618,934484032.3333287,1528053.4132677703,90156.32814371104,21.17609502935283,2502844.8184774783
-6.897627,96,8.451921,938779413.5815523,1561909.7657733173,93570.73739044393,21.176095029352826,2547505.0833141347
-4.816936,96,9.475625,994507686.8982786,1754824.9976912844,11154278.081248002,1642.9274553003627,2836953.2994264024
-1.531751,96,10.496623,934484032.3333287,1528053.4132677703,70425.32065828258,21.17609502935283,2502844.8184774783
-3.850644,96,11.520191,960362464.1682255,1733660.152161512,236186.07192602425,21.17609502935283,2772989.100748985
-4.769895,96,12.60001,1002092761.183461,1798811.22285053,11859501.080345074,1684.5873988088465,2897657.618669589
-1.113327,96,13.721437,966928801.6428714,1786314.2229332675,189939.83450824735,21.17609502935282,2841844.913239395
-2.016375,96,14.793281,934484032.3333287,1528053.4132677703,90156.32814371104,21.17609502935283,2502844.8184774783
-1.856824,96,15.848774,1068066200.84001,1988533.3610393198,23547280.124703053,2283.2410278311845,3208769.5543098357
-3.684182,96,16.841689,966814542.6730344,1785397.1441419143,236186.07192602425,21.17609502935282,2840646.7728403043
0.750727,96,17.936168,973157913.4821668,1836404.63094462,236186.07192602425,21.176095029352798,2907268.02958509
3.10043,96,18.977404,971100622.8867323,1708864.8808316884,7405540.482641481,1380.6208837706058,2749387.0597835793
